,Unnamed: 0,name,stars,cuisine,retrieve-date,name2,json,name_google_0,place_id_0,formatted_address_0,business_status_0,lat_0,lng_0,name_google_1,place_id_1,formatted_address_1,business_status_1,lat_1,lng_1,url_0,url_1
1070,1070,1071. The Roti Hut,4.0 of 5 bubbles,Caribbean,2021-08-09 19:19:14.531446-04:00,The Roti Hut,"[{'business_status': 'OPERATIONAL', 'formatted_address': '351 Pitfield Rd, Scarborough, ON M1S 3E5, Canada', 'geometry': {'location': {'lat': 43.7868572, 'lng': -79.25861859999999}, 'viewport': {'northeast': {'lat': 43.78824022989273, 'lng': -79.25731052010727}, 'southwest': {'lat': 43.78554057010729, 'lng': -79.26001017989272}}}, 'name': 'The Roti Hut', 'place_id': 'ChIJyw56rw_R1IkRRnXkcI3xZIY', 'rating': 4.3}]",The Roti Hut,ChIJyw56rw_R1IkRRnXkcI3xZIY,"351 Pitfield Rd, Scarborough, ON M1S 3E5, Canada",OPERATIONAL,43.7868572,-79.25861859999999,,,,,,,"https://www.google.com/maps/search/?api=1&query=The Roti Hut,43.7868572%2C-79.25861859999999&query_place_id=ChIJyw56rw_R1IkRRnXkcI3xZIY",
1071,1071,1072. Blackhorn Dining Room,4.0 of 5 bubbles,"Canadian, Steakhouse",2021-08-09 19:19:14.531446-04:00,Blackhorn Dining Room,"[{'business_status': 'OPERATIONAL', 'formatted_address': '251 Ellesmere Rd, Scarborough, ON M1R 4E4, Canada', 'geometry': {'location': {'lat': 43.7603747, 'lng': -79.3019936}, 'viewport': {'northeast': {'lat': 43.76181177989272, 'lng': -79.30070517010728}, 'southwest': {'lat': 43.75911212010728, 'lng': -79.30340482989273}}}, 'name': 'Blackhorn Steakhouse', 'place_id': 'ChIJKQa2WhfS1IkRu-y5NJ6yL7E', 'rating': 4.5}]",Blackhorn Steakhouse,ChIJKQa2WhfS1IkRu-y5NJ6yL7E,"251 Ellesmere Rd, Scarborough, ON M1R 4E4, Canada",OPERATIONAL,43.7603747,-79.3019936,,,,,,,"https://www.google.com/maps/search/?api=1&query=Blackhorn Steakhouse,43.7603747%2C-79.3019936&query_place_id=ChIJKQa2WhfS1IkRu-y5NJ6yL7E",
1072,1072,1073. The Crooked Cue,4.0 of 5 bubbles,"Bar, Pub",2021-08-09 19:19:14.531446-04:00,The Crooked Cue,"[{'business_status': 'OPERATIONAL', 'formatted_address': '3056 Bloor St W, Etobicoke, ON M8X 1C4, Canada', 'geometry': {'location': {'lat': 43.6471396, 'lng': -79.5131133}, 'viewport': {'northeast': {'lat': 43.64843827989272, 'lng': -79.51172052010727}, 'southwest': {'lat': 43.64573862010728, 'lng': -79.51442017989272}}}, 'name': 'The Crooked Cue', 'place_id': 'ChIJ2VQQY1M2K4gRCL-Yp3-UCs4', 'rating': 4.3}, {'business_status': 'OPERATIONAL', 'formatted_address': '75 Lakeshore Rd E, Mississauga, ON L5G 1C9, Canada', 'geometry': {'location': {'lat': 43.5526389, 'lng': -79.5842694}, 'viewport': {'northeast': {'lat': 43.55403532989273, 'lng': -79.58300587010729}, 'southwest': {'lat': 43.55133567010728, 'lng': -79.58570552989272}}}, 'name': 'The Crooked Cue, Port Credit, Mississauga', 'place_id': 'ChIJQRbH6nJGK4gRUxmg2mySkTo', 'rating': 4.3}]",The Crooked Cue,ChIJ2VQQY1M2K4gRCL-Yp3-UCs4,"3056 Bloor St W, Etobicoke, ON M8X 1C4, Canada",OPERATIONAL,43.6471396,-79.5131133,"The Crooked Cue, Port Credit, Mississauga",ChIJQRbH6nJGK4gRUxmg2mySkTo,"75 Lakeshore Rd E, Mississauga, ON L5G 1C9, Canada",OPERATIONAL,43.5526389,-79.5842694,"https://www.google.com/maps/search/?api=1&query=The Crooked Cue,43.6471396%2C-79.5131133&query_place_id=ChIJ2VQQY1M2K4gRCL-Yp3-UCs4","https://www.google.com/maps/search/?api=1&query=The Crooked Cue, Port Credit, Mississauga,43.5526389%2C-79.5842694&query_place_id=ChIJQRbH6nJGK4gRUxmg2mySkTo"
1073,1073,1074. Delina Restaurant,4.5 of 5 bubbles,Middle Eastern,2021-08-09 19:19:14.531446-04:00,Delina Restaurant,"[{'business_status': 'OPERATIONAL', 'formatted_address': '1891 Queen St E, Toronto, ON M4L 1H3, Canada', 'geometry': {'location': {'lat': 43.6687695, 'lng': -79.3052335}, 'viewport': {'northeast': {'lat': 43.67011932989271, 'lng': -79.30388367010728}, 'southwest': {'lat': 43.66741967010727, 'lng': -79.30658332989272}}}, 'name': 'Delina Restaurant', 'place_id': 'ChIJR1itRfbL1IkRlsRCW6xV_hM', 'rating': 4.7}]",Delina Restaurant,ChIJR1itRfbL1IkRlsRCW6xV_hM,"1891 Queen St E, Toronto, ON M4L 1H3, Canada",OPERATIONAL,43.6687695,-79.3052335,,,,,,,"https://www.google.com/maps/search/?api=1&query=Delina Restaurant,43.6687695%2C-79.3052335&query_place_id=ChIJR1itRfbL1IkRlsRCW6xV_hM",
1074,1074,1075. The Friar: A Firkin Pub,4.0 of 5 bubbles,"Bar, British",2021-08-09 19:19:14.531446-04:00,The Friar: A Firkin Pub,"[{'business_status': 'OPERATIONAL', 'formatted_address': '160 John St, Toronto, ON M5V 2E5, Canada', 'geometry': {'location': {'lat': 43.649496, 'lng': -79.391134}, 'viewport': {'northeast': {'lat': 43.65086767989271, 'lng': -79.38968827010727}, 'southwest': {'lat': 43.64816802010727, 'lng': -79.3923879298927}}}, 'name': 'The Friar: A Firkin Pub', 'place_id': 'ChIJ63EPBdA0K4gRQjRjf_xeszA', 'rating': 4.1}]",The Friar: A Firkin Pub,ChIJ63EPBdA0K4gRQjRjf_xeszA,"160 John St, Toronto, ON M5V 2E5, Canada",OPERATIONAL,43.649496,-79.391134,,,,,,,"https://www.google.com/maps/search/?api=1&query=The Friar: A Firkin Pub,43.649496%2C-79.391134&query_place_id=ChIJ63EPBdA0K4gRQjRjf_xeszA",
1076,1076,1077. Mythology Diner,4.0 of 5 bubbles,"Canadian, American",2021-08-09 19:19:14.531446-04:00,Mythology Diner,"[{'business_status': 'OPERATIONAL', 'formatted_address': '1265 Queen St W, Toronto, ON M6K 1L4, Canada', 'geometry': {'location': {'lat': 43.6415447, 'lng': -79.43118919999999}, 'viewport': {'northeast': {'lat': 43.64298092989272, 'lng': -79.42987082010727}, 'southwest': {'lat': 43.64028127010727, 'lng': -79.43257047989272}}}, 'name': 'Bar Vegandale', 'place_id': 'ChIJ85rY9-s1K4gRRVQ6hLIG484', 'rating': 4.1}, {'business_status': 'CLOSED_PERMANENTLY', 'formatted_address': '1265 Queen St W, Toronto, ON M6K 1L5, Canada', 'geometry': {'location': {'lat': 43.6415413, 'lng': -79.4311926}, 'viewport': {'northeast': {'lat': 43.64279517989272, 'lng': -79.42997917010727}, 'southwest': {'lat': 43.64009552010727, 'lng': -79.43267882989272}}}, 'name': 'Mythology', 'place_id': 'ChIJL4DbeKw1K4gRPlez9eit6xg', 'rating': 4.2}]",Bar Vegandale,ChIJ85rY9-s1K4gRRVQ6hLIG484,"1265 Queen St W, Toronto, ON M6K 1L4, Canada",OPERATIONAL,43.6415447,-79.43118919999999,Mythology,ChIJL4DbeKw1K4gRPlez9eit6xg,"1265 Queen St W, Toronto, ON M6K 1L5, Canada",CLOSED_PERMANENTLY,43.6415413,-79.4311926,"https://www.google.com/maps/search/?api=1&query=Bar Vegandale,43.6415447%2C-79.43118919999999&query_place_id=ChIJ85rY9-s1K4gRRVQ6hLIG484","https://www.google.com/maps/search/?api=1&query=Mythology,43.6415413%2C-79.4311926&query_place_id=ChIJL4DbeKw1K4gRPlez9eit6xg"
1078,1078,1079. Matagali Resturant,4.0 of 5 bubbles,Indian,2021-08-09 19:19:14.531446-04:00,Matagali Resturant,"[{'business_status': 'OPERATIONAL', 'formatted_address': '69 Elm St, Toronto, ON M5G 1H2, Canada', 'geometry': {'location': {'lat': 43.6570111, 'lng': -79.384875}, 'viewport': {'northeast': {'lat': 43.65839092989272, 'lng': -79.38362187010728}, 'southwest': {'lat': 43.65569127010728, 'lng': -79.38632152989271}}}, 'name': 'Matagali Restaurant', 'place_id': 'ChIJxwtUN8o0K4gRM3qz97XC48s', 'rating': 4.1}]",Matagali Restaurant,ChIJxwtUN8o0K4gRM3qz97XC48s,"69 Elm St, Toronto, ON M5G 1H2, Canada",OPERATIONAL,43.6570111,-79.384875,,,,,,,"https://www.google.com/maps/search/?api=1&query=Matagali Restaurant,43.6570111%2C-79.384875&query_place_id=ChIJxwtUN8o0K4gRM3qz97XC48s",
1079,1079,1080. Fox and Fiddle,3.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:19:14.532444-04:00,Fox and Fiddle,"[{'business_status': 'OPERATIONAL', 'formatted_address': '27 Wellesley St E, Toronto, ON M4Y 1G7, Canada', 'geometry': {'location': {'lat': 43.6650522, 'lng': -79.3830732}, 'viewport': {'northeast': {'lat': 43.66648332989272, 'lng': -79.38177517010728}, 'southwest': {'lat': 43.66378367010728, 'lng': -79.38447482989272}}}, 'name': 'Fox and Fiddle', 'place_id': 'ChIJ-8qLp7M0K4gRJGAShTJCjnI', 'rating': 3.9}]",Fox and Fiddle,ChIJ-8qLp7M0K4gRJGAShTJCjnI,"27 Wellesley St E, Toronto, ON M4Y 1G7, Canada",OPERATIONAL,43.6650522,-79.3830732,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fox and Fiddle,43.6650522%2C-79.3830732&query_place_id=ChIJ-8qLp7M0K4gRJGAShTJCjnI",
1080,1080,1081. Best Bite,4.5 of 5 bubbles,"Mexican, Canadian",2021-08-09 19:19:20.596435-04:00,Best Bite,"[{'business_status': 'OPERATIONAL', 'formatted_address': '2463 Yonge St, Toronto, ON M4P 2H6, Canada', 'geometry': {'location': {'lat': 43.7114362, 'lng': -79.3990249}, 'viewport': {'northeast': {'lat': 43.71276637989272, 'lng': -79.39783352010728}, 'southwest': {'lat': 43.71006672010728, 'lng': -79.40053317989272}}}, 'name': 'Good Bite Restaurant', 'place_id': 'ChIJBa5kxiMzK4gR6_ClFK7oHoY', 'rating': 4.4}]",Good Bite Restaurant,ChIJBa5kxiMzK4gR6_ClFK7oHoY,"2463 Yonge St, Toronto, ON M4P 2H6, Canada",OPERATIONAL,43.7114362,-79.3990249,,,,,,,"https://www.google.com/maps/search/?api=1&query=Good Bite Restaurant,43.7114362%2C-79.3990249&query_place_id=ChIJBa5kxiMzK4gR6_ClFK7oHoY",
1081,1081,1082. Maker Pizza,4.0 of 5 bubbles,"Pizza, Italian",2021-08-09 19:19:20.596435-04:00,Maker Pizza,"[{'business_status': 'OPERATIONAL', 'formatted_address': '59 Cameron St, Toronto, ON M5T 2H1, Canada', 'geometry': {'location': {'lat': 43.650437, 'lng': -79.39809509999999}, 'viewport': {'northeast': {'lat': 43.65200412989272, 'lng': -79.39685682010727}, 'southwest': {'lat': 43.64930447010727, 'lng': -79.39955647989272}}}, 'name': 'Maker Pizza Downtown', 'place_id': 'ChIJyTzFr9w0K4gRqAWOJNLhyq8', 'rating': 4.4}, {'business_status': 'OPERATIONAL', 'formatted_address': '1537 Avenue Rd, North York, ON M5M 3X3, Canada', 'geometry': {'location': {'lat': 43.7230553, 'lng': -79.4152951}, 'viewport': {'northeast': {'lat': 43.72442192989273, 'lng': -79.41401967010728}, 'southwest': {'lat': 43.72172227010729, 'lng': -79.41671932989271}}}, 'name': 'Maker Pizza Avenue', 'place_id': 'ChIJ9xX0mPwyK4gREm1nXvY8nrk', 'rating': 4.4}]",Maker Pizza Downtown,ChIJyTzFr9w0K4gRqAWOJNLhyq8,"59 Cameron St, Toronto, ON M5T 2H1, Canada",OPERATIONAL,43.650437,-79.39809509999999,Maker Pizza Avenue,ChIJ9xX0mPwyK4gREm1nXvY8nrk,"1537 Avenue Rd, North York, ON M5M 3X3, Canada",OPERATIONAL,43.7230553,-79.4152951,"https://www.google.com/maps/search/?api=1&query=Maker Pizza Downtown,43.650437%2C-79.39809509999999&query_place_id=ChIJyTzFr9w0K4gRqAWOJNLhyq8","https://www.google.com/maps/search/?api=1&query=Maker Pizza Avenue,43.7230553%2C-79.4152951&query_place_id=ChIJ9xX0mPwyK4gREm1nXvY8nrk"
1082,1082,1083. Easy,4.0 of 5 bubbles,Canadian,2021-08-09 19:19:20.596435-04:00,Easy,"[{'business_status': 'CLOSED_TEMPORARILY', 'formatted_address': '9 St Nicholas St, Toronto, ON M4Y 1W5, Canada', 'geometry': {'location': {'lat': 43.6652323, 'lng': -79.38562050000002}, 'viewport': {'northeast': {'lat': 43.66658177989272, 'lng': -79.38427207010729}, 'southwest': {'lat': 43.66388212010728, 'lng': -79.38697172989272}}}, 'name': 'Easy Education Centre', 'place_id': 'ChIJefXydcc0K4gRT8TOqh-3Oq8', 'rating': 4}]",Easy Education Centre,ChIJefXydcc0K4gRT8TOqh-3Oq8,"9 St Nicholas St, Toronto, ON M4Y 1W5, Canada",CLOSED_TEMPORARILY,43.6652323,-79.38562050000002,,,,,,,"https://www.google.com/maps/search/?api=1&query=Easy Education Centre,43.6652323%2C-79.38562050000002&query_place_id=ChIJefXydcc0K4gRT8TOqh-3Oq8",
1083,1083,1084. Grossman's Tavern,4.0 of 5 bubbles,"Bar, Pub",2021-08-09 19:19:20.596435-04:00,Grossman's Tavern,"[{'business_status': 'OPERATIONAL', 'formatted_address': '377 Spadina Ave., Toronto, ON M5T 2G3, Canada', 'geometry': {'location': {'lat': 43.656004, 'lng': -79.3990146}, 'viewport': {'northeast': {'lat': 43.65736472989272, 'lng': -79.39772302010728}, 'southwest': {'lat': 43.65466507010727, 'lng': -79.40042267989273}}}, 'name': ""Grossman's Tavern"", 'place_id': 'ChIJ43RXb8E0K4gRpNM329xtxS4', 'rating': 4.4}]",Grossman's Tavern,ChIJ43RXb8E0K4gRpNM329xtxS4,"377 Spadina Ave., Toronto, ON M5T 2G3, Canada",OPERATIONAL,43.656004,-79.3990146,,,,,,,"https://www.google.com/maps/search/?api=1&query=Grossman's Tavern,43.656004%2C-79.3990146&query_place_id=ChIJ43RXb8E0K4gRpNM329xtxS4",
1084,1084,1085. Paul's Spaghetti,4.0 of 5 bubbles,"Italian, Canadian",2021-08-09 19:19:20.596435-04:00,Paul's Spaghetti,"[{'business_status': 'OPERATIONAL', 'formatted_address': '488 Cosburn Ave., East York, ON M4J 2N5, Canada', 'geometry': {'location': {'lat': 43.69306, 'lng': -79.33359899999999}, 'viewport': {'northeast': {'lat': 43.69434777989272, 'lng': -79.33222422010728}, 'southwest': {'lat': 43.69164812010727, 'lng': -79.33492387989271}}}, 'name': ""Paul's Spaghetti"", 'place_id': 'ChIJrRK_xl_M1IkRCKCulNjG7bA', 'rating': 4.7}]",Paul's Spaghetti,ChIJrRK_xl_M1IkRCKCulNjG7bA,"488 Cosburn Ave., East York, ON M4J 2N5, Canada",OPERATIONAL,43.69306,-79.33359899999999,,,,,,,"https://www.google.com/maps/search/?api=1&query=Paul's Spaghetti,43.69306%2C-79.33359899999999&query_place_id=ChIJrRK_xl_M1IkRCKCulNjG7bA",
1085,1085,1086. Hello123,4.0 of 5 bubbles,Canadian,2021-08-09 19:19:20.596435-04:00,Hello123,"[{'business_status': 'OPERATIONAL', 'formatted_address': '1122 Queen St W, Toronto, ON M6J 1H9, Canada', 'geometry': {'location': {'lat': 43.6433736, 'lng': -79.4234717}, 'viewport': {'northeast': {'lat': 43.64472342989272, 'lng': -79.42212187010728}, 'southwest': {'lat': 43.64202377010728, 'lng': -79.42482152989271}}}, 'name': 'Hello 123', 'place_id': 'ChIJu779JgA1K4gR8E6djUdo-0s', 'rating': 4.5}]",Hello 123,ChIJu779JgA1K4gR8E6djUdo-0s,"1122 Queen St W, Toronto, ON M6J 1H9, Canada",OPERATIONAL,43.6433736,-79.4234717,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hello 123,43.6433736%2C-79.4234717&query_place_id=ChIJu779JgA1K4gR8E6djUdo-0s",
